learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
4100.0,6.121218,6.480830328717001E-6,1000.0,33.31483072805804,46.24957519594898,4100.0,2989264.0,2.0
4200.0,6.229751,6.5681558227849515E-6,1000.0,30.019283680893732,44.2079589991671,4200.0,3110152.0,2.0
4300.0,6.342777,6.662638851340034E-6,1000.0,24.648343240067383,39.15481105868106,4300.0,3231304.0,2.0
4400.0,6.45411,6.75921885451716E-6,1000.0,17.49672672232237,29.353693758938697,4400.0,3353248.0,2.0
4500.0,6.580633,6.872944635080382E-6,1000.0,14.200072647728387,26.17262210108252,4500.0,3474496.0,2.0
4600.0,6.706448,6.989914059887331E-6,1000.0,11.536646380526637,19.925670838974717,4600.0,3593704.0,2.0
4700.0,6.834527,7.113116293760638E-6,1000.0,8.44452934970871,13.82162711421459,4700.0,3718288.0,2.0
4800.0,6.972851,7.250741544999183E-6,1000.0,8.026299254359659,13.514167308952729,4800.0,3845944.0,2.0
4900.0,7.113624,7.395399968876607E-6,1000.0,7.872440743362328,13.397909432932062,4900.0,3972160.0,2.0
5000.0,7.256554,7.547004909163548E-6,1000.0,7.784404964698919,8.999832997117187,5000.0,4100080.0,2.0
5100.0,7.399599,7.7033625924877E-6,1000.0,8.619722873049712,10.09125806171377,5100.0,4225216.0,2.0
5200.0,7.546903,7.869169892863267E-6,1000.0,8.411313146478875,9.969185110810502,5200.0,4351024.0,2.0
5300.0,7.696546,8.042398614556424E-6,1000.0,8.758135883355617,10.921862993007245,5300.0,4474720.0,2.0
5400.0,7.848264,8.22308409847733E-6,1000.0,9.848713451804578,12.81309248606041,5400.0,4603504.0,2.0
5500.0,8.005974,8.416323506029115E-6,1000.0,10.080100757821844,13.144782001310674,5500.0,4736296.0,2.0
5600.0,8.170105,8.622982292214614E-6,1000.0,11.57621716157433,15.252808364500506,5600.0,4867048.0,2.0
5700.0,8.332177,8.832520699093324E-6,1000.0,13.208156385705808,17.4374981396918,5700.0,4997560.0,2.0
5800.0,8.49788,9.052454215033599E-6,1000.0,13.750336966857658,17.939473105100426,5800.0,5130544.0,2.0
5900.0,8.665296,9.280254662891641E-6,1000.0,15.752534739316637,20.184768888730403,5900.0,5259688.0,2.0
6000.0,8.837827,9.520571398848872E-6,1000.0,17.702814782482793,22.564720884727706,6000.0,5384176.0,2.0
6100.0,9.012906,9.770096315391773E-6,1000.0,19.47553552454533,24.8566699366603,6100.0,5509120.0,2.0
6200.0,9.195265,1.0035771176456989E-5,1000.0,22.207987461025464,28.15085444222579,6200.0,5631520.0,2.0
6300.0,9.374571,1.030274715669246E-5,1000.0,24.28482723798877,29.96799916177713,6300.0,5755456.0,2.0
6400.0,9.566204,1.0594182244464752E-5,1000.0,26.05290356741441,32.51609287253438,6400.0,5878600.0,2.0
6500.0,9.767069,1.0906075091467546E-5,1000.0,29.680332840608255,36.02690319856319,6500.0,6002104.0,2.0
6600.0,9.970297,1.122826156225262E-5,1000.0,32.23978200422309,38.33369496813393,6600.0,6128104.0,2.0
6700.0,10.191273,1.1585827519891573E-5,1000.0,33.128576048284025,39.28190661806221,6700.0,6254800.0,2.0
6800.0,10.40836,1.1944184922006806E-5,1000.0,33.10395997132684,39.279369318953876,6800.0,6380944.0,2.0
6900.0,10.620807,1.2301879034412815E-5,1000.0,33.21208908147866,39.19904662988413,6900.0,6508240.0,2.0
7000.0,10.84108,1.2435925934173992E-5,1000.0,32.19735739077515,38.33177096414543,7000.0,2352328.0,3.0
7100.0,10.935694,1.249654495283547E-5,1000.0,31.323271375781648,37.54919408984144,7100.0,2476600.0,3.0
7200.0,11.036519,1.2564480575236178E-5,1000.0,29.712422494397178,35.683053195791466,7200.0,2604544.0,3.0
7300.0,11.134402,1.2633714048378167E-5,1000.0,29.099650685036487,35.45367437499477,7300.0,2734080.0,3.0
7400.0,11.235319,1.2708433141186832E-5,1000.0,27.9364297192786,33.80302510367413,7400.0,2862000.0,3.0
7500.0,11.339696,1.27891403041097E-5,1000.0,24.78246126416776,30.303873585336504,7500.0,2988888.0,3.0
