vhod1-3,vhod1-2,vhod1-1,vhod2-3,vhod2-2,vhod2-1,izhod-3,izhod-2,izhod-1,izhod
0.3231972631,0.3188747789,0.3145482349,-0.8791071088,-0.8555899017,-0.8299709359,-4.430242797,-5.218865226,-5.973420692,-6.68971786
0.3188747789,0.3145482349,0.3102177599,-0.8555899017,-0.8299709359,-0.8023332663,-5.218865226,-5.973420692,-6.68971786,-7.363731113
0.3145482349,0.3102177599,0.3058834829,-0.8299709359,-0.8023332663,-0.7727656641,-5.973420692,-6.68971786,-7.363731113,-7.991611992
0.3102177599,0.3058834829,0.3015455327,-0.8023332663,-0.7727656641,-0.7413623143,-6.68971786,-7.363731113,-7.991611992,-8.569700023
0.3058834829,0.3015455327,0.2972040384,-0.7727656641,-0.7413623143,-0.7082224959,-7.363731113,-7.991611992,-8.569700023,-9.094532899
0.3015455327,0.2972040384,0.2928591289,-0.7413623143,-0.7082224959,-0.6734502473,-7.991611992,-8.569700023,-9.094532899,-9.562856007
0.2972040384,0.2928591289,0.2885109331,-0.7082224959,-0.6734502473,-0.6371540154,-8.569700023,-9.094532899,-9.562856007,-9.971631239
0.2928591289,0.2885109331,0.2841595799,-0.6734502473,-0.6371540154,-0.5994462929,-9.094532899,-9.562856007,-9.971631239,-10.31804508
0.2885109331,0.2841595799,0.2798051984,-0.6371540154,-0.5994462929,-0.5604432415,-9.562856007,-9.971631239,-10.31804508,-10.59951597
0.2841595799,0.2798051984,0.2754479174,-0.5994462929,-0.5604432415,-0.5202643061,-9.971631239,-10.31804508,-10.59951597,-10.81370083
0.2798051984,0.2754479174,0.271087866,-0.5604432415,-0.5202643061,-0.4790318176,-10.31804508,-10.59951597,-10.81370083,-10.95850087
0.2754479174,0.271087866,0.266725173,-0.5202643061,-0.4790318176,-0.4368705888,-10.59951597,-10.81370083,-10.95850087,-11.03206653
0.271087866,0.266725173,0.2623599673,-0.4790318176,-0.4368705888,-0.3939075026,-10.81370083,-10.95850087,-11.03206653,-11.03280163
0.266725173,0.2623599673,0.2579923778,-0.4368705888,-0.3939075026,-0.3502710952,-10.95850087,-11.03206653,-11.03280163,-10.95936669
0.2623599673,0.2579923778,0.2536225334,-0.3939075026,-0.3502710952,-0.3060911354,-11.03206653,-11.03280163,-10.95936669,-10.81068136
0.2579923778,0.2536225334,0.2492505629,-0.3502710952,-0.3060911354,-0.261498201,-11.03280163,-10.95936669,-10.81068136,-10.58592607
0.2536225334,0.2492505629,0.2448765951,-0.3060911354,-0.261498201,-0.2166232545,-10.95936669,-10.81068136,-10.58592607,-10.2845428
0.2492505629,0.2448765951,0.2405007587,-0.261498201,-0.2166232545,-0.1715972187,-10.81068136,-10.58592607,-10.2845428,-9.906234958
0.2448765951,0.2405007587,0.2361231824,-0.2166232545,-0.1715972187,-0.1265505549,-10.58592607,-10.2845428,-9.906234958,-9.450966521
0.2405007587,0.2361231824,0.2317439948,-0.1715972187,-0.1265505549,-0.08161284367,-10.2845428,-9.906234958,-9.450966521,-8.918960223
0.2361231824,0.2317439948,0.2273633247,-0.1265505549,-0.08161284367,-0.03691237035,-9.906234958,-9.450966521,-8.918960223,-8.31069499
0.2317439948,0.2273633247,0.2229813005,-0.08161284367,-0.03691237035,0.007424282794,-9.450966521,-8.918960223,-8.31069499,-7.626902523
0.2273633247,0.2229813005,0.2185980507,-0.03691237035,0.007424282794,0.05127263744,-8.918960223,-8.31069499,-7.626902523,-6.868563096
0.2229813005,0.2185980507,0.2142137037,0.007424282794,0.05127263744,0.09451071104,-8.31069499,-7.626902523,-6.868563096,-6.036900563
0.2185980507,0.2142137037,0.2098283879,0.05127263744,0.09451071104,0.1370193985,-7.626902523,-6.868563096,-6.036900563,-5.133376602
0.2142137037,0.2098283879,0.2054422315,0.09451071104,0.1370193985,0.1786828425,-6.868563096,-6.036900563,-5.133376602,-4.159684223
0.2098283879,0.2054422315,0.2010553628,0.1370193985,0.1786828425,0.219388791,-6.036900563,-5.133376602,-4.159684223,-3.117740552
0.2054422315,0.2010553628,0.1966679099,0.1786828425,0.219388791,0.2590289408,-5.133376602,-4.159684223,-3.117740552,-2.009678941
0.2010553628,0.1966679099,0.1922800008,0.219388791,0.2590289408,0.2974992665,-4.159684223,-3.117740552,-2.009678941,-0.8378404054
0.1966679099,0.1922800008,0.1878917635,0.2590289408,0.2974992665,0.3347003329,-3.117740552,-2.009678941,-0.8378404054,0.3952355509
0.1922800008,0.1878917635,0.1835033258,0.2974992665,0.3347003329,0.3705375903,-2.009678941,-0.8378404054,0.3952355509,1.686820709
0.1878917635,0.1835033258,0.1791148154,0.3347003329,0.3705375903,0.4049216522,-0.8378404054,0.3952355509,1.686820709,3.034008459
0.1835033258,0.1791148154,0.1747263601,0.3705375903,0.4049216522,0.4377685533,0.3952355509,1.686820709,3.034008459,4.433724646
0.1791148154,0.1747263601,0.1703380873,0.4049216522,0.4377685533,0.4689999884,1.686820709,3.034008459,4.433724646,5.882738885
0.1747263601,0.1703380873,0.1659501245,0.4377685533,0.4689999884,0.49854353,3.034008459,4.433724646,5.882738885,7.377676318
0.1703380873,0.1659501245,0.161562599,0.4689999884,0.49854353,0.5263328252,4.433724646,5.882738885,7.377676318,8.915029765
0.1659501245,0.161562599,0.157175638,0.49854353,0.5263328252,0.5523077707,5.882738885,7.377676318,8.915029765,10.49117222
0.161562599,0.157175638,0.1527893687,0.5263328252,0.5523077707,0.576414665,7.377676318,8.915029765,10.49117222,12.10236966
0.157175638,0.1527893687,0.1484039179,0.5523077707,0.576414665,0.5986063381,8.915029765,10.49117222,12.10236966,13.74479409
0.1527893687,0.1484039179,0.1440194125,0.576414665,0.5986063381,0.6188422581,10.49117222,12.10236966,13.74479409,15.41453684
0.1484039179,0.1440194125,0.1396359791,0.5986063381,0.6188422581,0.6370886138,12.10236966,13.74479409,15.41453684,17.10762201
0.1440194125,0.1396359791,0.1352537444,0.6188422581,0.6370886138,0.6533183744,13.74479409,15.41453684,17.10762201,18.82001999
0.1396359791,0.1352537444,0.1308728347,0.6370886138,0.6533183744,0.6675113247,15.41453684,17.10762201,18.82001999,20.54766114
0.1352537444,0.1308728347,0.1264933763,0.6533183744,0.6675113247,0.6796540766,17.10762201,18.82001999,20.54766114,22.28644942
0.1308728347,0.1264933763,0.1221154952,0.6675113247,0.6796540766,0.6897400574,18.82001999,20.54766114,22.28644942,24.03227602
0.1264933763,0.1221154952,0.1177393175,0.6796540766,0.6897400574,0.6977694737,20.54766114,22.28644942,24.03227602,25.78103292
0.1221154952,0.1177393175,0.113364969,0.6897400574,0.6977694737,0.7037492525,22.28644942,24.03227602,25.78103292,27.52862633
0.1177393175,0.113364969,0.1089925752,0.6977694737,0.7037492525,0.7076929588,24.03227602,25.78103292,27.52862633,29.27098998
0.113364969,0.1089925752,0.1046222617,0.7037492525,0.7076929588,0.7096206907,25.78103292,27.52862633,29.27098998,31.00409814
0.1089925752,0.1046222617,0.1002541537,0.7076929588,0.7096206907,0.7095589523,27.52862633,29.27098998,31.00409814,32.72397851
0.1046222617,0.1002541537,0.09588837641,0.7096206907,0.7095589523,0.7075405046,29.27098998,31.00409814,32.72397851,34.42672465
0.1002541537,0.09588837641,0.09152505468,0.7095589523,0.7075405046,0.7036041957,31.00409814,32.72397851,34.42672465,36.1085082
0.09588837641,0.09152505468,0.08716431332,0.7075405046,0.7036041957,0.6977947704,32.72397851,34.42672465,36.1085082,37.76559069
0.09152505468,0.08716431332,0.08280627688,0.7036041957,0.6977947704,0.6901626605,34.42672465,36.1085082,37.76559069,39.39433484
0.08716431332,0.08280627688,0.07845106976,0.6977947704,0.6901626605,0.6807637555,36.1085082,37.76559069,39.39433484,40.99121556
0.08280627688,0.07845106976,0.07409881612,0.6901626605,0.6807637555,0.6696591567,37.76559069,39.39433484,40.99121556,42.55283032
0.07845106976,0.07409881612,0.06974963997,0.6807637555,0.6696591567,0.656914913,39.39433484,40.99121556,42.55283032,44.07590906
0.07409881612,0.06974963997,0.06540366509,0.6696591567,0.656914913,0.6426017419,40.99121556,42.55283032,44.07590906,45.55732354
0.06974963997,0.06540366509,0.06106101505,0.656914913,0.6426017419,0.626794735,42.55283032,44.07590906,45.55732354,46.99409606
0.06540366509,0.06106101505,0.05672181322,0.6426017419,0.626794735,0.6095730504,44.07590906,45.55732354,46.99409606,48.3834076
0.06106101505,0.05672181322,0.05238618275,0.626794735,0.6095730504,0.5910195916,45.55732354,46.99409606,48.3834076,49.72260533
0.05672181322,0.05238618275,0.04805424658,0.6095730504,0.5910195916,0.5712206762,46.99409606,48.3834076,49.72260533,51.00920942
0.05238618275,0.04805424658,0.04372612742,0.5910195916,0.5712206762,0.5502656937,48.3834076,49.72260533,51.00920942,52.24091919
0.04805424658,0.04372612742,0.03940194775,0.5712206762,0.5502656937,0.5282467547,49.72260533,51.00920942,52.24091919,53.41561855
0.04372612742,0.03940194775,0.03508182983,0.5502656937,0.5282467547,0.5052583332,51.00920942,52.24091919,53.41561855,54.5313807
